rule_number,title,chapter,statutory_act,statutory_rule,gazette_reference,category,priority,summary,enforcement_clause
Rule 6(1)(f),Dimensions and Size Specifications,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(1)(f)",Mandatory Declarations,Medium,"Where the sizes or dimensions of the commodity are relevant, the dimensions of the commodity and of each different piece contained in the package must be declared.","Mandatory for textiles, bedsheets, paper sheets, and dimensional consumer goods."
Rule 6(2),Consumer Complaint Redressal Contact Particulars,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(2)",Consumer Protection,High,"Every package must bear the name, address, telephone number, and E-mail address (if available) of the person or office that can be contacted in case of consumer complaints.","Section 36(1) violation for missing consumer redressal phone number, email, or contact point."
Rule 6(3),Prohibition of Individual Stickers (Except for MRP Reduction),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 6(3)",Anti-Tampering,High,It is strictly unlawful to affix individual stickers on packages for altering or making required declarations. PROVISO: A sticker with a revised lower MRP (inclusive of all taxes) is permissible provided it does NOT cover or obscure the original manufacturer MRP.,Section 36(1) fine and seizure for unlawful stickers altering price or dates.
Rule 7(2) Table-I,Minimum Height of Numerals for Net Quantity by Weight or Volume,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 7 Table-I",Optical Calibration,High,"Prescribes minimum height of numerals on Principal Display Panel based on net quantity by weight/volume: (1) Up to 200g/ml: Normal 1.0 mm, Blown/formed/moulded 2.0 mm; (2) Above 200g/ml up to 500g/ml: Normal 2.0 mm, Blown/formed/moulded 4.0 mm; (3) Above 500g/ml: Normal 4.0 mm, Blown/formed/moulded 6.0 mm. Letter height >= 1.0 mm (normal) / 2.0 mm (moulded). Letter width must be >= 1/3 height (except '1', 'i', 'l', 'I').",Section 36(1) compounding for sub-standard font height below statutory threshold.
Rule 7(2) Table-II,"Minimum Height of Numerals for Net Quantity by Length, Area, or Number",Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 7 Table-II",Optical Calibration,High,"Prescribes minimum height of numerals on Principal Display Panel based on PDP area: (1) Up to 100 cm2: Normal 1.0 mm, Blown 2.0 mm; (2) Above 100 cm2 up to 500 cm2: Normal 2.0 mm, Blown 4.0 mm; (3) Above 500 cm2 up to 2500 cm2: Normal 4.0 mm, Blown 6.0 mm; (4) Above 2500 cm2: Normal 6.0 mm, Blown 6.0 mm.",Mathematical verification of PDP font dimensions against measured surface area.
Rule 8,Declaration Location and Quiet Zone Surrounding Quantity,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 8",Label Layout & Margins,High,"Every declaration must appear on the Principal Display Panel. The area surrounding the net quantity declaration must remain completely free of printed text: (a) above and below by a space equal to at least the height of the numeral; (b) to the left and right by a space at least twice the height of the numeral. For returnable bottles, MRP on crown cap or bottle is permissible.",Non-compliance if text or decorative artwork encroaches on statutory quiet zone margins.
Rule 9,"Prominence, Color Contrast, and Outer Wrapper Visibility",Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 9",Optical & Contrast Standards,High,"Declarations must be legible and prominent. Numerals of retail sale price and net quantity must contrast conspicuously with the background. No declaration may be obscured or require reading through liquid. Outside transparent wrappers must allow full readability of inner declarations, otherwise outer wrapper must duplicate all declarations.",WCAG contrast ratio audit (< 4.5:1 on label background constitutes statutory infraction).
Rule 10,Complete Manufacturer Postal Address and PIN Code,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 10",Manufacturer Details,Medium,"Requires full corporate/registered postal address with street, premises number, city, State, and Postal Index Number (PIN) Code. For packages <= 5 cc, identification mark or inscription is permissible.","Deficient declaration if city, State, or 6-digit PIN code is missing."
Rule 11,Net Quantity Exclusion of Wrappers and 'When Packed' Prohibitions,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 11",Quantity Verification,High,"Net quantity must strictly exclude tare weight of wrappers and containers. Where commodity is not subject to environmental variations, 'when packed' qualification is prohibited. 'When packed' is permitted exclusively for commodities listed in the Third Schedule (soaps, lotions, creams).",Unlawful use of 'when packed' on non-scheduled commodities constitutes statutory offence.
Rule 12,Manner of Expressing Quantity (Mass vs Volume vs Linear vs Number),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 12",Quantity Verification,High,"Solids, semi-solids, viscous commodities must be declared in mass. Liquids and cubic measures in volume. Linear goods in length. Area measures in area. Prohibits misleading expressions like 'minimum', 'not less than', 'average', 'about', 'approximately'.","Strict prohibition of subjective quantity qualifiers ('approx', 'about', 'min')."
Rule 13,SI Metric Unit Symbols and Prohibition of Non-Standard Units,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 13",Metric SI Compliance,High,"Permitted metric symbols: kg, g, mg, l, ml, m, cm, mm. Prohibits obsolete abbreviations (gm, gms, gm., kg., kilo, ltr, cc, sec, hr). Prohibits words like dozen, score, gross, great gross. Items sold by number must use symbol N or U.",Section 36(1) violation for non-standard metric abbreviations.
Rule 18(2),Prohibition of Selling Above Maximum Retail Price (MRP),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 18(2)",Enforcement & Pricing,High,"No retail dealer or other person (including manufacturer, packer, importer, wholesale dealer) shall sell any packaged commodity at a price exceeding the marked retail sale price (MRP).",Section 36(1) prosecution and compounding for charging in excess of declared MRP.
Rule 18(5),"Prohibition of Obliterating, Smudging, or Altering MRP",Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 18(5)",Enforcement & Pricing,High,"No dealer or person shall obliterate, smudge, or alter the retail sale price indicated on the package or label by the manufacturer, packer, or importer.",Prosecution for price tampering or smudging under Section 36(1).
Rule 18(2A),Prohibition of Dual MRP on Identical Pre-Packaged Commodities,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011 (Amended)",G.S.R. 592(E) / Rule 18(2A),Enforcement & Pricing,High,"No person shall declare different maximum retail prices (Dual MRP) on an identical pre-packaged commodity in different geographical areas or sales channels (e.g. airports, cinema halls, premium lounges vs retail stores).",Strict prohibition of dual pricing under Legal Metrology Act and consumer court precedent.
Rule 18(7),Mandatory Class III Electronic Weighing Machine in Retail Stores,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 18(7)",Retail Infrastructure,Medium,All VAT/TOT registered retailers dealing in commodities by weight or volume must provide a free-of-cost verified Class III electronic weighing machine with minimum 1 gram division and printed receipt facility at a prominent location for consumer verification.,Inspectors may issue show-cause notices for failure to maintain consumer check-weighing facility.
Rule 19,Inspection Protocol at Manufacturer/Packer Premises and Lot Testing,Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 19",Field Inspection Protocol,High,"Empowers Legal Metrology Officers to inspect and test sample packages drawn per the Fifth Schedule and tested per the Sixth Schedule. If non-conforming, manufacturer must conduct 100% check of lot to isolate conforming units. Fresh testing fee is Rs. 2,500.",Authority to seize 5 representative sample packages as courtroom evidence.
Rule 23,Prohibition of Deceptive Packaging (Slack Fill & Excessive Headspace),Chapter II: Provisions Applicable to Packages Intended for Retail Sale,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 23",Packaging Standards,High,"Packages designed to give consumers an exaggerated or misleading impression of the quantity contained (excessive headspace, oversized non-functional volume) are deceptive packages. Officer may order repacking/relabling or seize the lot.",Immediate seizure of deceptive packages under Section 15 of Legal Metrology Act.
Rule 24,Mandatory Declarations on Wholesale Packages,Chapter III: Provisions Applicable to Wholesale Packages,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 24",Wholesale Regulation,Medium,Wholesale packages must bear: (a) name and address of manufacturer/packer/importer; (b) identity of the commodity; (c) total number of retail packages or net quantity in standard units of weight/measure/number.,Section 36(1) applies to wholesale non-compliance.
Rule 25,Restrictions on Sale of Export Packages in India,Chapter IV: Export of Packaged Commodities,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 25",Export Compliance,High,Packages intended for export cannot be sold in domestic Indian market unless repacked or relabeled in full compliance with Chapter II. Non-compliant export packages sold domestically are liable to immediate seizure.,Seizure of export diversion packages under Section 15.
Rule 26,"Statutory Exemptions for Packages <= 10g/10ml, Fast Food, DPCO, and Farm Produce",Chapter V: Exemptions,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 26",Exemptions,High,Exempts: (a) packages with net weight/measure <= 10g or 10ml (PROVISO: MRP and net quantity MUST be declared on packages between 10g-20g or 10ml-20ml); (b) fast food packed by hotels/restaurants; (c) scheduled/non-scheduled formulations under Drugs (Price Control) Order (DPCO); (d) agricultural farm produce in packages above 50 kg.,Exemption threshold boundaries audit (10g/20g rule).
Rule 27,"Mandatory Registration of Manufacturers, Packers, and Importers","Chapter VI: Registration of Manufacturers, Packers and Importers","Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 27",Registration & Licensing,High,All entities pre-packing or importing commodities must apply for registration with Director/Controller within 90 days. Application fee is Rs. 500. Alteration fee is Rs. 100. Registering authority returns incomplete forms within 7 working days.,"Penalty of Rs. 4,000 under Rule 32 for operating without LMPC registration."
Rule 31,Mandatory Declaration of Net Quantity in Price Advertisements,Chapter VII: General,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 31",Advertising Standards,Medium,Any advertisement mentioning retail sale price of a pre-packaged commodity must also state net quantity or count in the same font size as the retail sale price.,Penalty under Rule 32 for misleading price advertisements lacking quantity.
Rule 32,Statutory Penalties for Contravention of Packaged Commodities Rules,Chapter VII: General,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011","G.S.R. 202(E) Part II Sec. 3(i), Rule 32",Penalties & Compounding,High,"Penalties for contraventions: (1) Rules 27 to 31: fine of Rs. 4,000; (2) General contravention of other provisions where no specific penalty is provided: fine of Rs. 2,000. Upgraded under Section 36(1) of Legal Metrology Act (Rs. 25,000 for 1st offence, Rs. 50,000 for 2nd offence, up to Rs. 1,00,000 / imprisonment for subsequent offences).",Statutory basis for Compounding Calculator under Section 48.
First Schedule [Rule 2(e)],Maximum Permissible Errors (MPE) on Net Quantity Declared by Weight or Volume,The First Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) First Schedule Table-I,Mathematical Tolerance Engine,High,Defines Maximum Permissible Error (MPE) in deficiency/excess: (i) Up to 50g/ml: 9.0%; (ii) 50 to 100g/ml: 4.5g/ml; (iii) 100 to 200g/ml: 4.5%; (iv) 200 to 300g/ml: 9.0g/ml; (v) 300 to 500g/ml: 3.0%; (vi) 500 to 1000g/ml: 15.0g/ml; (vii) 1000 to 10000g/ml: 1.5%; (viii) 10000 to 15000g/ml: 150g/ml; (ix) Above 15000g/ml: 1.0%. Percentage error rounded to 0.1g/ml for <=1000g/ml and whole g/ml above 1000g/ml.,Zero tolerance for deficiencies exceeding statutory MPE.
Second Schedule [Rule 5],Statutory Standard Packaging Quantities for 19 Commodity Categories,The Second Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Second Schedule,Packaging Standards,High,"Specifies standard packaging sizes: (1) Baby food: 100g-10kg; (2) Weaning food: 600g-10kg; (3) Biscuits: 25g, 50g, 75g, 100g, 150g, 200g, 250g, 300g, thereafter multiples of 100g up to 1kg; (4) Bread: 100g and multiples of 100g; (5) Butter/margarine: 25g, 50g, 100g, 200g, 500g, 1kg, 2kg, 5kg; (6) Cereals/pulses: 100g, 200g, 500g, 1kg, 2kg, 5kg; (7) Coffee: 25g, 50g, 100g, 200g, 250g, 500g, 1kg; (8) Tea: 25g, 50g, 100g, 125g, 250g, 500g, 1kg; (9) Beverages: 25g-1kg; (10) Edible oils, vanaspati, ghee, butter oil: multiples of 5kg, volume declaration must state mass in brackets; (11) Milk powder: 50g, 100g, 200g, 500g, 1kg; (12) Non-soapy detergents: 50g, 100g, 200g, 500g, 700g, 1kg, 1.5kg, 2kg; (13) Atta, rawa, suji: 100g, 200g, 500g, 1kg, 2kg, 5kg; (14) Salt: multiples of 10g below 50g, 50g, 100g, 200g, 500g, 750g, 1kg, 2kg, 5kg; (15) Soaps: laundry (50g, 75g, 100g), detergent bars, toilet soaps (25g, 50g, 75g, 100g, 125g, 150g); (16) Aerated soft drinks: 65ml, 100ml, 125ml, 150ml, 200ml, 250ml, 300ml, 330ml (cans), 500ml, 750ml, 1L, 1.5L, 2L, 3L, 4L, 5L; (17) Mineral/drinking water: 100ml to 5L; (18) Cement: 1kg to 50kg; (19) Paints, varnishes, base paints.",Non-standard size warning declaration required under Rule 5 Proviso.
Third Schedule [Rule 11(4)],Commodities Qualified by Words 'When Packed',The Third Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Third Schedule,Statutory Exceptions,High,Exclusive list of commodities permitted to declare quantity qualified by 'When Packed': (1) All kinds of soaps; (2) Lotions; (3) Creams (other than cream of milk). All other commodities strictly prohibited from using 'When Packed'.,Prosecution for qualifying net quantity with 'when packed' on unlisted commodities.
Fourth Schedule [Rule 12(2)],Exceptions to Manner of Expressing Quantity (26 Commodities),The Fourth Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Fourth Schedule,Quantity Specifications,High,"Specifies permitted units for 26 commodities: (1) Aerosol products (Weight); (2) Liquid acids (Weight or Volume); (3) Compressed/liquefied gas (Weight & volume); (4) Curd (Weight); (5-7) Cables & wires (Length or Weight); (8) Fruits (Number or Weight); (9) Furnace oil (Weight or Volume); (10-11) Edible oils / ghee (Weight or Volume); (12) Heavy residual fuel oil (Weight); (13) Industrial diesel fuel (Volume); (14) Honey & malt extract (Weight); (15) Ice cream (Volume); (16) Liquid chemicals (Weight or Volume); (17) LPG (Weight); (18) Nails/screws (Number or Weight); (19-20) Paints (Volume for liquid, Weight for paste); (21) Rasgulla, gulabjamun & sweets (Weight); (22) Readymade garments (Number); (23) Sauces (Weight); (24) Tyres/tubes (Number); (25) Yarn (Weight or Length); (26) Cosmetics, shampoo, perfume (Weight or Measure).",Enforces proper statutory unit mapping for commodities.
Fifth Schedule [Rule 19],Manner of Selection of Sample Packages and Lot Sizes,The Fifth Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Fifth Schedule,Statistical Sampling,High,"Statutory statistical sampling plan for testing: (1) Lot size less than 4,000 packages: Sample size 32 packages; (2) Lot size 4,000 to 10,000 packages: Sample size 80 packages; (3) Lot size more than 10,000 packages: Sample size 160 packages. Samples drawn at random from all parts of stack.",Mandatory sampling sizes for issuing formal inspection certificates and seizure memos.
Sixth Schedule [Rule 20],Determination of Net Quantity and Error in Packages (Tare Weight Protocol),The Sixth Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Sixth Schedule,Laboratory & Field Testing,High,"Defines scientific procedure for net weight determination: Tare weight verification using 0.3 * MPE single container test and 0.4 * MPE max-min spread across 5 empty containers. If spread exceeds 0.4 * MPE, destructive test or 100% check is mandated. Procedures for liquids, length, and item count verification.",Standard testing methodology admissible as expert evidence in court under Section 63 BSA 2023.
Seventh Schedule [Rule 20(2)],Statutory Inspection and Test Report Data Sheets (Form A & Form B),The Seventh Schedule,"Legal Metrology Act, 2009","The Legal Metrology (Packaged Commodities) Rules, 2011",G.S.R. 202(E) Seventh Schedule Form A & Form B,Statutory Reporting Forms,High,"Prescribes statutory data sheets: Form A for weight checking and Form B for volume/length checking. Contains fields for Manufacturer/Packer name, address, price, lot size, sample size, MPE %, individual gross/tare/net weights, average net weight, officer designation, and witness signatures.",Legal Metrology Inspection Form FORM LM-INSP-2011 layout and attestation.
Rule 3,Units of Weight or Measure to be based on Metric System,National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,Gazette of India Extraordinary Part II Sec. 3(ii),General,Medium,Mandates that every unit of weight or measure in India shall be strictly based on the metric system conforming to the International System of Units (SI) recommended by General Conference on Weights and Measures (CGPM) and International Organisation of Legal Metrology (OIML).,"Strict prohibition on non-metric or obsolete customary units in retail, trade, or commerce."
Rule 4,Base Unit of Length (Metre),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 4",General,Medium,"The base unit of length is the metre (symbol: m). The metre is defined as the length of path travelled by light in vacuum during a time interval of 1/299,792,458 of a second.",
Rule 5,Base Unit of Mass (Kilogram),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 5",General,Medium,"The base unit of mass is the kilogram (symbol: kg). Standard retail packaged net quantities must declare weight in kilogram (kg), gram (g), or milligram (mg).",
Rule 6,Base Unit of Time (Second),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 6",General,Medium,"The base unit of time is the second (symbol: s). Expressed for duration, shelf-life, and manufacturing timestamps.",
Rule 7,Base Unit of Electric Current (Ampere),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 7",General,Medium,The base unit of electric current is the ampere (symbol: A).,
Rule 8,Base Unit of Thermodynamic Temperature (Kelvin),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 8",General,Medium,The base unit of thermodynamic temperature is the kelvin (symbol: K). Degree Celsius (symbol: °C) is permitted for practical temperature declarations including storage conditions.,
Rule 9,Base Unit of Luminous Intensity (Candela),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 9",General,Medium,The base unit of luminous intensity is the candela (symbol: cd).,
Rule 10,Base Unit of Amount of Substance (Mole),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"Gazette of India Extraordinary Part II Sec. 3(ii), Rule 10",General,Medium,The base unit of amount of substance is the mole (symbol: mol).,
Rule 12,Supplementary Units (First Schedule),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"The First Schedule, Rule 12",General,Medium,Defines supplementary units: plane angle radian (rad) and solid angle steradian (sr).,
Rule 13,Derived Units and Standard Symbols (Second Schedule),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"The Second Schedule, Rule 13",General,Medium,"Defines standard derived units in mechanics, thermodynamics, electromagnetism, and optics: square metre (m²), cubic metre (m³), litre (L, l), pascal (Pa), newton (N), joule (J), watt (W), hertz (Hz). Packaged liquid commodities must declare volume in litre (L, l) or millilitre (mL, ml).",
Rule 14,Decimal Multiples and Sub-multiples (Third Schedule),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"The Third Schedule, Rule 14",General,Medium,"Specifies official SI prefixes and multiplier factors from 10^24 to 10^-24: yotta (Y), zetta (Z), exa (E), peta (P), tera (T), giga (G), mega (M), kilo (k), hecto (h), deca (da), deci (d), centi (c), milli (m), micro (μ), nano (n), pico (p), femto (f), atto (a), zepto (z), yocto (y). Strict case sensitivity enforced (e.g. k for kilo, not K; M for mega, m for milli).",
Rule 15,"Permitted Non-SI Units of Mass, Area and Volume (Fourth Schedule)",National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"The Fourth Schedule, Rule 15",General,Medium,"Authorizes specific practical units: Mass: tonne (t = 1000 kg), Area: are (a = 100 m²), hectare (ha = 10000 m²), Volume: litre (L, l = 1 dm³ = 0.001 m³).",
Rule 18,Progressive Discontinuation of Obsolete & CGS Units (Seventh & Eighth Schedules),National Standards,"Legal Metrology Act, 2009",Legal Metrology Rules,"The Seventh and Eighth Schedules, Rule 18",General,Medium,"Orders complete discontinuation of non-metric CGS units and imperial units in commerce: dyne, erg, poise, stokes, gauss, oersted, maxwell, stilb, phot, ounce, pound, grain, dram, pint, gallon, cubic foot. Using these in retail packaging constitutes a statutory default under Section 36(1).",
